id,parent_id,title,uri
0-up,,org,/org/
4147,247,"""Торпедо""",/org/sportorganizazii/klubi/torpedo/
4313,247,"""Тосно""",/org/sportorganizazii/klubi/tosno/
4131,247,"""Урал""",/org/sportorganizazii/klubi/ural/
4148,247,"""Уфа""",/org/sportorganizazii/klubi/ufa/
4405,247,"ФК ""Химки""",/org/sportorganizazii/klubi/khimki/
4311,247,"""Халл Сити""",/org/sportorganizazii/klubi/hullcity/
504,247,ЦСКА,/org/sportorganizazii/klubi/zska/
2151,247,"""Челси""",/org/sportorganizazii/klubi/chelsea/
4127,247,"""Шахтер""",/org/sportorganizazii/klubi/shahter/
4143,247,"""Ювентус""",/org/sportorganizazii/klubi/juventus/
3907,245,Хоккейные клубы,/org/sportorganizazii/hockeyteams/
3909,3907,"""Авангард""",/org/sportorganizazii/hockeyteams/avangard/
3929,3907,"""Автомобилист""",/org/sportorganizazii/hockeyteams/avtomobilist/
4222,3907,"""Адмирал""",/org/sportorganizazii/hockeyteams/admiral/
3910,3907,"""Ак Барс""",/org/sportorganizazii/hockeyteams/akbars/
3930,3907,"""Амур""",/org/sportorganizazii/hockeyteams/amur/
3931,3907,"""Барыс""",/org/sportorganizazii/hockeyteams/barys/
3920,3907,"""Витязь""",/org/sportorganizazii/hockeyteams/vityaz/
3927,3907,"""Динамо"" Минск",/org/sportorganizazii/hockeyteams/dinamominsk/
3911,3907,"""Динамо"" Москва",/org/sportorganizazii/hockeyteams/dinamo/
3922,3907,"""Динамо"" Рига",/org/sportorganizazii/hockeyteams/dinamoriga/
4223,3907,"""Йокерит""",/org/sportorganizazii/hockeyteams/iokerit/
4303,3907,"""Куньлунь Ред Стар""",/org/sportorganizazii/hockeyteams/kunlun/
4224,3907,"""Лада""",/org/sportorganizazii/hockeyteams/lada/
3921,3907,"""Локомотив""",/org/sportorganizazii/hockeyteams/hclokomotiv/
4225,3907,"""Медвешчак""",/org/sportorganizazii/hockeyteams/medveshchak/
3923,3907,"""Металлург"" Магнитогорск",/org/sportorganizazii/hockeyteams/metallurgmag/
3925,3907,"""Металлург"" Новокузнецк",/org/sportorganizazii/hockeyteams/metallurgkuz/
3926,3907,"""Нефтехимик""",/org/sportorganizazii/hockeyteams/neftehimik/
3912,3907,"""Салават Юлаев""",/org/sportorganizazii/hockeyteams/salavat/
3928,3907,"""Северсталь""",/org/sportorganizazii/hockeyteams/severstal/
3932,3907,"""Сибирь""",/org/sportorganizazii/hockeyteams/hcsibir/
3913,3907,СКА,/org/sportorganizazii/hockeyteams/ska/
4226,3907,"""Слован""",/org/sportorganizazii/hockeyteams/slovan/
4227,3907,"""Сочи""",/org/sportorganizazii/hockeyteams/sochi/
3916,3907,"""Спартак""",/org/sportorganizazii/hockeyteams/hcspartak/
3924,3907,"""Торпедо""",/org/sportorganizazii/hockeyteams/hctorpedo/
